Mögliche assigned ECU,J01,J05
GWM_BMS-01,x,x
GWM_MCU-01,x,x
GWM_ODP-01,x,
GWM_ODP-02,,x
GWM_VCU-01,x,x
BACKEND_ECE_ME,x,x
BACKEND_ASIA,x,x
WAVE-01,x,x
AZV-LGE_AS,x,x
BOOSTER-02_AS,x,x
HU-MGU_01,x,x
HU-MGU_02_A,x,x
HU-MGU_02_L,x,x
FZD-40_2,x,x
FZD-40,x,x
FZD-ILE35_AS,x,x
HUD_LGE-AS,x,x
NFC_WCA-02,x,x
TGL-MINI,x,x
RAM-01,x,x
SCR-04,x,x
KOMBI-MINI_B,x,x
APP_Mobile_2_0,x,x
APP_Mobile_2_0_IOS_CN,x,x
APP_Mobile_2_0_Android_CN,x,x
APPS_Onboard,x,x
ETC_CN-01,x,x
IC_G5-Box,x,x
ILP-01_AS,x,x
IHKA-PRO2,x,x
SF_VehicleProg,x,x
IB-CT03-BRS,x,x
IB-CT03-VIP,x,x
IB_VIP_EV,x,x
Smacc_Devices,x,x
Spotlight-ABEE,x,x
GWM_EPS-NEX02,x,x
EPS-NEX02,x,x
BCP-01-AP,x,x
BCP-21,x,x
BCP_Parkmaster,x,x
BT-Device,x,x
FBD5-Conti_AS,x,x
IDG_Gen3-MQ_AS,x,x
EME-GEN3,x,x
SZL_BEL-01_AS,x,x
RLSBS-VA_AS,x,x
RVC-30,x,x
MRR-30,x,x
SRR-40_CD,x,x
SRR-40_ECU,x,x
UCAP-10,x,x
USS-50,x,x
FRR-30,x,x
MRR-30,x,x
MPAD-21-PP,x,x
MPAD-21-SSC,x,x
MPAD-21-ASS,x,x
ADCAM-10LOW,x,x
AR_CAM-AS,x,x
BCP_Parkmaster,x,x
SRR-40,x,x
EDH_GEN5-LIN_AS,x,x
AAG-02,x,x
FLM-03,x,x
SM-06,x,x
TSG-01,x,x
ZLRE-01_AS,x,x
RLM-02,x,x
INGA-18,x,x
ACSM-06,x,x
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
